mm/dd/yyyy | hh:mm:ss | x → transcript | title + (participants)

05/21/2014 | 03:14:21 | bit.ly/2SPf45i | Sonic the Hedgehog 1, 2, & 3 (Jack, Rich, Jay, Jessi)
05/28/2014 | 05:16:38 | bit.ly/3iUaX2B | Power Stone, Jet Grind Radio, Crazy Taxi (Jack, Rich, Jay, Jessi, Mike)
06/04/2014 | 03:58:59 | bit.ly/3iW2njQ | Dark Souls (Jack, Rich, Jay)
06/11/2014 | 06:24:04 | bit.ly/33RyHAd | 1001 Spikes, FTL: Faster Than Light, The Binding of Isaac (Jack, Rich, Jay)
06/22/2014 | 03:19:17 | bit.ly/3nLq8i7 | The Binding of Isaac, Team Fortress 2 (Jack)
06/25/2014 | 07:13:40 | bit.ly/3iTBugk | XCOM: Enemy Unknown (Jack, Rich, Jay)
07/02/2014 | 06:00:31 | bit.ly/3iTG2mU | Shovel Knight, One Finger Death Punch, Duck Tales (Jack, Rich, Jay, Jessi, Mike)
07/09/2014 | 05:04:56 | bit.ly/355rR9N | Katamari Damacy, Dynasty Warriors 3, Mister Mosquito, Gungrave (Jack, Rich, Jay, Jessi)
07/23/2014 | 01:48:06 | bit.ly/311hgez | Team Fortress 2 (Jack)
07/27/2014 | 03:00:34 | bit.ly/2IisOn7 | Shovel Knight (Jack)
07/30/2014 | 02:27:13 | bit.ly/3fOOp3q | Mario Kart 8, New Super Mario Brothers U (Jack, Rich, Jay)
08/01/2014 | 04:31:27 | bit.ly/37nVQup | GoldenEye, Perfect Dark, Body Harvest, Dark Rift, Mario Kart 64 (Jack, Rich, Jay, Josh, Jessi)
08/03/2014 | 05:21:30 | bit.ly/36kaQJd | Rogue Legacy, FTL: Faster Than Light (Jack)
08/04/2014 | 01:11:32 | bit.ly/3dmhIZO | The Binding of Isaac (Jack)
08/10/2014 | 01:38:57 | bit.ly/36YsrbS | Nuclear Throne (Jack)
08/20/2014 | 03:35:06 | bit.ly/2FqxMxe | Gunpoint, One Chance, Papers Please, Checkers (Jack, Rich, Jay)
08/27/2014 | 04:18:56 | bit.ly/310iyGL | Papers Please, XCOM: Enemy Unknown, Checkers (Jack, Rich, Jay)
08/31/2014 | 01:47:25 | bit.ly/3nKrVE3 | Risk of Rain (Jack)
09/11/2014 | 05:22:21 | bit.ly/3nFHm0q | Super Time Force, Shovel Knight (Jack)
09/12/2014 | 05:19:45 | bit.ly/3nLvZ7l | Invisible Inc., Towerfall Ascension (Jack, Rich, Jay)
09/14/2014 | 03:49:34 | bit.ly/2Ft2aak | VVVVVV, Shovel Knight (Jack, Rich)
09/17/2014 | 04:41:31 | bit.ly/2IdZQor | No More Heroes, Punch Out Wii (Jack, Rich)
09/22/2014 | 02:22:19 | bit.ly/2GJed41 | Team Fortress 2 (Jack, Rich)
09/24/2014 | 04:52:18 | bit.ly/2SLT8bd | Octodad: Dadliest Catch, QWOP (Jack, Rich, Jay, Jessi, Mike)
09/28/2014 | 02:50:20 | bit.ly/3lzwLSI | The Binding of Isaac, FTL: Faster Than Light (Jack, Rich)
10/05/2014 | 04:20:49 | bit.ly/3dmisy5 | The Binding of Isaac, FTL: Faster Than Light, Solitaire, MS Paint (Jack, Rich)
10/08/2014 | 05:22:23 | bit.ly/310FEgr | Guacamelee (Jack, Rich, Jay)
10/15/2014 | 04:51:26 | bit.ly/2GQQsqC | FTL: Faster Than Light, Teleglitch (Jack, Rich, Jay, Jessi)
10/19/2014 | 06:03:52 | bit.ly/2Ifk8On | Super Meat Boy, FTL: Faster Than Light (Jack, Rich)
10/22/2014 | 02:16:45 | bit.ly/2GVg0D1 | 3D Dot Game Heroes, Lollipop Chainmail (Jack, Rich, Jay, Jessi, Mike)
10/24/2014 | 00:00:59 | bit.ly/3jV0N38 | Crocodile Brain (Rich)
10/26/2014 | 02:26:57 | bit.ly/3dqC4B9 | Cavern Kings (Jack, Rich)
10/29/2014 | 03:52:34 | bit.ly/2H2JBtH | 5 Nights At Freddy's, Real Horror Stories: Ultimate Edition, Haunt the House: Terrortown, Nightmare on Elm Street, Friday the 13th, Outlast (Jack, Rich, Jay, Jessi, Mike)
11/02/2014 | 03:59:22 | bit.ly/310nD1S | Super Time Force, Monaco: What's Yours Is Mine, Organ Trail  (Jack, Rich)
11/09/2014 | 03:19:25 | bit.ly/3lDSfOu | The Binding of Isaac: Rebirth, Friday the Birthday Dick (Jack, Rich)
11/12/2014 | 05:10:15 | bit.ly/2SONLYX | Smash TV, Mega Man X, Mighty Morphin Power Rangers, Batman Returns (Jack, Rich, Jay, Jessi)
11/16/2014 | 03:39:39 | bit.ly/3dmHv3Z | Mario Kart 8 (Jack, Rich)
11/23/2014 | 03:12:21 | bit.ly/3dnYNOm | Spelunky, The Binding Of Isaac (Jack, Rich)
11/26/2014 | 03:20:23 | bit.ly/3lJY6C3 | Star Trek Catan, K2 (Jack, Rich, Jay, Lisa)
11/30/2014 | 03:55:58 | bit.ly/36Z7o8Z | Spelunky, Papers Please, Wikipedia Wars (Jack, Rich)
12/03/2014 | 04:18:33 | bit.ly/33Q8Icn | Rich's PC, Rambo: Last Blood, Frog Fractions (Jack, Rich, Jay, Mike, Jessi)
12/07/2014 | 02:47:47 | bit.ly/310SiMB | Space Quest 1 (Jack, Rich)
12/08/2014 | 02:48:44 | bit.ly/2IoWX4q | Space Quest 1 (Jack, Rich)
12/10/2014 | 03:23:42 | bit.ly/3nHcug2 | Far Cry 3: Blood Dragon, Strider, Don't Shit Your Pants (Jack, Rich, Jay, Jessi, Mike)
12/14/2014 | 01:42:52 | bit.ly/34QRWt1 | Thief: The Dark Project, Far Cry 3: Blood Dragon, Jedi Knight 2 (Rich)
12/17/2014 | 02:36:37 | bit.ly/36YRXh2 | TIE Fighter, Pac-Man, I Zombie (Jack, Rich, Jay)
12/21/2014 | 03:17:53 | bit.ly/33Uf1vv | MS Paint (Jack, Rich, Jay)
12/28/2014 | 03:32:33 | bit.ly/3lzDhce | XCOM: Enemy Unknown (Jack, Rich)
01/04/2015 | 03:59:14 | bit.ly/2FnJyby | Moving Stories, Arkham Asylum (Jack, Rich)
01/07/2015 | 03:07:42 | bit.ly/3dkFiGx | Arkham Asylum (Jack, Rich)
01/11/2015 | 02:33:14 | bit.ly/33SZfBd | Call of Duty: Advanced Warfare, The Swapper, Crypt of the Necrodancer (Jack, Rich)
01/14/2015 | 03:09:85 | bit.ly/2H4w0lF | Spelunky, Crypt of the Necrodancer, Invisible Inc. (Jack, Rich, Jay)
01/18/2015 | 06:59:15 | bit.ly/3lHc5sk | Arkham Asylum, Plants vs Zombies, Crypt of the Necrodancer (Rich)
01/21/2015 | 02:18:37 | bit.ly/371Nbzw | Dr. Mario, Spelunky (Jack, Rich, Karin)
01/25/2015 | 04:42:11 | bit.ly/34PeWII | Doom 3, Volgarr the Viking, FTL: Faster Than Light (Jack, Rich)
01/28/2015 | 03:04:46 | bit.ly/3nMhkZm | FTL: Faster Than Light (Jack, Rich, Jay)
02/01/2015 | 04:33:31 | bit.ly/3pc5dFF | Madden NFL 2015 (Jack, Rich)
02/04/2015 | 03:26:38 | bit.ly/2UcSEeV | Leisure Suit Larry 2 (Jack, Rich, Jay)
02/08/2015 | 02:53:36 | bit.ly/38p1P4A | Metroid Prime (Jack)
02/11/2015 | 02:44:27 | bit.ly/2U3q6Vg | Matroid Prime, Luigi's Mansion (Jack, Rich)
02/15/2015 | 05:40:58 | bit.ly/3mZyxNG | Orcs must Die!, STRAFE (Jack, Rich, Thom Glunt)
02/17/2015 | 01:53:06 | bit.ly/2IflrNC | STRAFE (Jack, Rich)
